iter	RMSE
227	3.87305863
228	3.865624514
229	3.860211543
230	3.849791559
231	3.845919931
232	3.839296476
233	3.832069767
234	3.82655273
235	3.821135274
236	3.813558352
237	3.808558946
238	3.802655991
239	3.797583452
240	3.794901064
241	3.785616123
242	3.780800658
243	3.771837267
244	3.767914403
245	3.759927164
246	3.752665391
247	3.747360769
248	3.743518278
249	3.739507355
250	3.734621856
251	3.725150035
252	3.720511727
253	3.713779589
254	3.705881626
255	3.695471866
256	3.691836638
257	3.688697456
258	3.681010876
259	3.677242562
260	3.673333629
261	3.671087294
262	3.668796964
263	3.665775003
264	3.65825386
265	3.646455178
266	3.641550079
267	3.634022352
268	3.631451587
269	3.622695221
270	3.619612215
271	3.61427611
272	3.606150886
273	3.599967527
274	3.591903523
275	3.585110395
276	3.577156771
277	3.569043453
278	3.565510447
279	3.56342187
280	3.556274679
281	3.549441206
282	3.543831949
283	3.536507519
284	3.530548656
285	3.527909058
286	3.522632693
287	3.518885502
288	3.515245493
289	3.510655841
290	3.500148099
291	3.49568151
292	3.488969509
293	3.4821568
294	3.475893204
295	3.472671918
296	3.469510453
297	3.463444111
298	3.461712929
299	3.454258362
300	3.448397581
301	3.443365396
302	3.439976621
303	3.432868129
304	3.429087129
305	3.427736073
306	3.424905067
307	3.419384059
308	3.413511115
309	3.410082512
310	3.407392676
311	3.397065111
312	3.393461949
313	3.389370889
314	3.382149872
315	3.376675282
316	3.374704483
317	3.368868609
318	3.362054489
319	3.356148089
320	3.348794242
321	3.343562436
322	3.33796426
323	3.335693089
324	3.329581835
325	3.324077762
326	3.316103814
327	3.309339298
328	3.303476533
329	3.294679757
330	3.28911034
331	3.284816031
332	3.276030791
333	3.273691755
334	3.26998188
335	3.268636067
336	3.265866866
337	3.259672674
338	3.257599522
339	3.253571539
340	3.24913769
341	3.243364952
342	3.238858936
343	3.232333063
344	3.230043578
345	3.226682816
346	3.222386843
347	3.218261889
348	3.210122237
349	3.204903757
350	3.200697683
351	3.193583365
352	3.186612914
353	3.179849671
354	3.178841261
355	3.176218657
356	3.174715597
357	3.170058241
358	3.162989514
359	3.15648933
360	3.155683003
361	3.15002386
362	3.141930527
363	3.138102477
364	3.133748493
365	3.131860311
366	3.126554251
367	3.122492726
368	3.119504512
369	3.113866845
370	3.109651774
371	3.104999297
372	3.103022919
373	3.099033854
374	3.093586065
375	3.092241298
376	3.089750499
377	3.079402364
378	3.071659929
379	3.070134228
380	3.064097257
381	3.06040552
382	3.055262217
383	3.050355952
384	3.047168685
385	3.03919317
386	3.03392057
387	3.026728145
388	3.025458269
389	3.019012581
390	3.017808901
391	3.017065401
392	3.009116929
393	3.002872405
394	2.998424483
395	2.994953156
396	2.987869986
397	2.984135458
398	2.978053781
399	2.973275914
400	2.969139621
401	2.962121315
402	2.957620729
403	2.950927803
404	2.946500748
405	2.944439055
406	2.936715453
407	2.933713353
408	2.928177352
409	2.924132387
410	2.919898832
411	2.918667705
412	2.910757938
413	2.90718347
414	2.901376664
415	2.897056392
416	2.893646388
417	2.885899657
418	2.882404605
419	2.876028611
420	2.870605653
421	2.866869563
422	2.863670623
423	2.85830956
424	2.855860648
425	2.854391453
426	2.850454533
427	2.844717272
428	2.84308505
429	2.838955263
430	2.833857226
431	2.830476601
432	2.823901471
433	2.821385989
434	2.81738607
435	2.81592919
436	2.811830227
437	2.806671507
438	2.801791884
439	2.79949998
440	2.792652505
441	2.785498242
442	2.781491673
443	2.77696792
444	2.772753084
445	2.769005495
446	2.767593686
447	2.763390741
448	2.760608463
449	2.757059216
450	2.753294652
451	2.750440751
452	2.742307374
453	2.73585316
454	2.73218662
455	2.730767076
456	2.724790717
457	2.721628166
458	2.720245394
459	2.716480761
460	2.711881361
461	2.706948503
462	2.701590506
463	2.698183431
464	2.694390065
465	2.690303818
466	2.687773083
467	2.681097608
468	2.675603028
469	2.674113121
470	2.666351594
471	2.660471537
472	2.654395367
473	2.653528931
474	2.649106998
475	2.646591902
476	2.644508214
477	2.640474197
478	2.637997761
479	2.635965606
480	2.63333796
481	2.628521369
482	2.622574492
483	2.619897616
484	2.614746687
485	2.60901241
486	2.608321739
487	2.604911717
488	2.600942982
489	2.596207295
490	2.594294228
491	2.593347074
492	2.591129269
493	2.587258801
494	2.585766554
495	2.581335852
496	2.579625258
497	2.577433929
498	2.570936799
499	2.564745073
500	2.563115173
501	2.559157387
502	2.553239372
503	2.547867896
504	2.546293012
505	2.545142474
506	2.538012676
507	2.534215856
508	2.530939815
509	2.527608409
510	2.52194911
511	2.520195578
512	2.513394185
513	2.508676843
514	2.506951382
515	2.502358163
516	2.49895072
517	2.495399949
518	2.491193796
519	2.490122664
520	2.487522102
521	2.48315629
522	2.476748527
523	2.474164061
524	2.472564822
525	2.470668021
526	2.468173185
527	2.462439509
528	2.458219663
529	2.456043914
530	2.454606552
531	2.450703351
532	2.445881381
533	2.441879647
534	2.440605422
535	2.437742946
536	2.436847279
537	2.433826494
538	2.430883512
539	2.428122572
540	2.423025573
541	2.420461171
542	2.416763363
543	2.415480893
544	2.412677296
545	2.406566206
546	2.40254164
547	2.396655934
548	2.392698674
549	2.386923422
550	2.384903848
551	2.383263542
552	2.382119583
553	2.380673597
554	2.378381986
555	2.376048306
556	2.372542747
557	2.369704369
558	2.364526233
559	2.361767055
560	2.356329303
561	2.355151783
562	2.35391264
563	2.35031151
564	2.350132097
565	2.348244087
566	2.346806659
567	2.340526519
568	2.334913787
569	2.333606791
570	2.331672917
571	2.33014027
572	2.32513897
573	2.321291916
574	2.318758907
575	2.316270376
576	2.311848031
577	2.309218949
578	2.30729515
579	2.30621076
580	2.305084334
581	2.300751839
582	2.295909682
583	2.29215388
584	2.291232481
585	2.287117441
586	2.284211223
587	2.28020387
588	2.27629662
589	2.274641142
590	2.271710018
591	2.269602119
592	2.263893617
593	2.262441839
594	2.259444082
595	2.25742346
596	2.256454086
597	2.251524767
598	2.245771908
599	2.243249697
600	2.238429503
601	2.233680297
602	2.232225446
603	2.228472053
604	2.225757765
605	2.221120858
606	2.219097893
607	2.214502626
608	2.210863049
609	2.209760386
610	2.207333719
611	2.203642335
612	2.201263374
613	2.198611464
614	2.197250788
615	2.195581889
616	2.194150111
617	2.190336977
618	2.18533867
619	2.183963609
620	2.182753738
621	2.180733578
622	2.176116672
623	2.174254894
624	2.171668913
625	2.170916492
626	2.168401973
627	2.164880917
628	2.161746031
629	2.160018076
630	2.156477931
631	2.155038419
632	2.152633451
633	2.15089688
634	2.149235614
635	2.147608593
636	2.146101428
637	2.144775125
638	2.143884641
639	2.1391679
640	2.134767692
641	2.131043623
642	2.130139143
643	2.129170579
644	2.127663103
645	2.123661964
646	2.121808943
647	2.117599992
648	2.11551151
649	2.111843266
650	2.109737361
651	2.105473538
652	2.099711937
653	2.09856445
654	2.09428975
655	2.093482308
656	2.090275044
657	2.088780102
658	2.085392205
659	2.082269588
660	2.079585865
661	2.074516336
662	2.0690732
663	2.066328648
664	2.064371343
665	2.062159001
666	2.058117924
667	2.053625308
668	2.051556276
669	2.049601565
670	2.047330063
671	2.042461432
672	2.038073829
673	2.034537802
674	2.031909088
675	2.029885892
676	2.025109139
677	2.022093007
678	2.017953877
679	2.01777103
680	2.015800602
681	2.014747246
682	2.011748342
683	2.009583685
684	2.005358806
685	2.002388829
686	2.00005873
687	1.997885912
688	1.995992019
689	1.99363072
690	1.993042213
691	1.990471574
692	1.985604564
693	1.98426503
694	1.982591397
695	1.978371275
696	1.973731386
697	1.969725537
698	1.968209769
699	1.96468815
700	1.963734605
701	1.959803402
702	1.958696652
703	1.954945712
704	1.953373567
705	1.950822062
706	1.948140279
707	1.946796118
708	1.944910053
709	1.943211663
710	1.940756586
711	1.939972175
712	1.93631909
713	1.931565896
714	1.927454178
715	1.926241642
716	1.92234169
717	1.920970683
718	1.919431235
719	1.916624043
720	1.914088405
721	1.913351544
722	1.912791847
723	1.909875724
724	1.908716224
725	1.905788561
726	1.901450177
727	1.897719224
728	1.893601057
729	1.889651525
730	1.885559687
731	1.88438037
732	1.881352395
733	1.879833522
734	1.878548213
735	1.874815739
736	1.870695613
737	1.868655832
738	1.867557804
739	1.866698903
740	1.862583049
741	1.859014642
742	1.855611301
743	1.853716607
744	1.850209778
745	1.845525722
746	1.843569015
747	1.843114264
748	1.842155209
749	1.839528449
750	1.839084551
751	1.83740485
752	1.833984782
753	1.831200968
754	1.830251061
755	1.829549286
756	1.826769952
757	1.823394421
758	1.822367422
759	1.819229757
760	1.815041222
761	1.812352535
762	1.809418531
763	1.806207971
764	1.803659616
765	1.80273644
766	1.80229169
767	1.799151466
768	1.79780326
769	1.796492422
770	1.795523793
771	1.792060307
772	1.789996946
773	1.78938263
774	1.78866417
775	1.785950144
776	1.781975231
777	1.781383857
778	1.780166588
779	1.777563283
780	1.77654125
781	1.774943542
782	1.771658439
783	1.768020698
784	1.765190947
785	1.762254408
786	1.761258725
787	1.757706026
788	1.757077963
789	1.754458341
790	1.754028348
791	1.750819867
792	1.749359617
793	1.74865844
794	1.746274914
795	1.745267875
796	1.744188393
797	1.741720966
798	1.739423005
799	1.736353702
800	1.733485667
801	1.730411239
802	1.729903079
803	1.726623114
804	1.725661491
805	1.724381169
806	1.720551588
807	1.717217177
808	1.715708199
809	1.715016509
810	1.712249246
811	1.710010976
812	1.708663499
813	1.707151512
814	1.705204007
815	1.704167805
816	1.702662256
817	1.699443684
818	1.699222509
819	1.696234505
820	1.693722672
821	1.69233479
822	1.690179048
823	1.689715928
824	1.68664772
825	1.685430173
826	1.682298522
827	1.680162365
828	1.679115592
829	1.677831718
830	1.674637982
831	1.672376437
832	1.669997932
833	1.669521677
834	1.666546807
835	1.665642695
836	1.661861702
837	1.659730647
838	1.657237532
839	1.656289589
840	1.654332128
841	1.652852948
842	1.65184399
843	1.650833726
844	1.649385069
845	1.645797483
846	1.642214613
847	1.641733542
848	1.641353018
849	1.640117624
850	1.639562195
851	1.636932609
852	1.63422523
853	1.633506726
854	1.633121761
855	1.630262532
856	1.626841023
857	1.625979093
858	1.622716034
859	1.620685658
860	1.619645674
861	1.616384177
862	1.615822461
863	1.614901425
864	1.613711573
865	1.612976412
866	1.610704355
867	1.608908383
868	1.607375201
869	1.604505019
870	1.602990159
871	1.600123616
872	1.599034619
873	1.596874229
874	1.595205263
875	1.594652208
876	1.594499902
877	1.593418427
878	1.591328748
879	1.590241671
880	1.589046074
881	1.588080903
882	1.587531557
883	1.583448347
884	1.582816525
885	1.579944443
886	1.579022344
887	1.576707134
888	1.573560235
889	1.572258692
890	1.569980339
891	1.569132924
892	1.567823304
893	1.564455424
894	1.563721228
895	1.560292067
896	1.558228879
897	1.554766126
898	1.554397261
899	1.551265855
900	1.550710884
901	1.548438342
902	1.54752076
903	1.545269061
904	1.544463646
905	1.54352727
906	1.542855068
907	1.539622913
908	1.539069998
909	1.536517409
910	1.535865314
911	1.534997962
912	1.53379649
913	1.532282847
914	1.529425275
915	1.528829961
916	1.526171216
917	1.523835687
918	1.52306806
919	1.521762445
920	1.521266041
921	1.519982324
922	1.519049033
923	1.517389696
924	1.514750728
925	1.511415069
926	1.510111901
927	1.507662875
928	1.505854904
929	1.502871027
930	1.499996152
931	1.499324772
932	1.499014108
933	1.498120009
934	1.497069394
935	1.493826235
936	1.491431979
937	1.488943103
938	1.487508008
939	1.486718601
940	1.485843728
941	1.485068569
942	1.483986936
943	1.483542112
944	1.481924585
945	1.47969569
946	1.479144204
947	1.478184492
948	1.477359511
949	1.476253955
950	1.475404785
951	1.472583245
952	1.46850688
953	1.46620526
954	1.464938872
955	1.464543275
956	1.46372142
957	1.459798507
958	1.458252363
959	1.456570284
960	1.454434826
961	1.453748367
962	1.453469657
963	1.450655743
964	1.449357487
965	1.448753363
966	1.44797795
967	1.446372311
968	1.445770503
969	1.44555825
970	1.444870354
971	1.442610233
972	1.441945749
973	1.440545023
974	1.438043443
975	1.437256188
976	1.436778946
977	1.435382119
978	1.434217157
979	1.433580352
980	1.432542669
981	1.432195602
982	1.4313915
983	1.430623557
984	1.429865097
985	1.428317437
986	1.427653384
987	1.426382454
988	1.424598169
989	1.424106273
990	1.421407002
991	1.421030975
992	1.420108222
993	1.419615073
994	1.416665223
995	1.416053595
996	1.413298077
997	1.412329247
998	1.412138048
999	1.410155517
